epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35044,0.6836,1.27062,0.93669,0.95185,0.75132,0.83441,0.75035,0.49794,1.14066,0.84489,2e-05,2e-05,2e-05
2,8.74737,0.66482,1.22961,0.94436,0.90961,0.79863,0.88255,0.79259,0.47504,0.91942,0.83314,5.8812e-05,5.8812e-05,5.8812e-05
3,11.82,0.65079,0.9931,0.93707,0.86483,0.83069,0.88188,0.78474,0.49381,0.80593,0.83466,9.604e-05,9.604e-05,9.604e-05
4,15.1496,0.64921,0.86193,0.91397,0.83238,0.80423,0.86828,0.77763,0.48361,0.79637,0.83597,0.000131684,0.000131684,0.000131684
5,18.3768,0.63914,0.84549,0.90749,0.78556,0.87302,0.85183,0.75904,0.47788,0.84244,0.83278,0.000165744,0.000165744,0.000165744
6,21.7968,0.62698,0.7682,0.88986,0.80237,0.88072,0.88246,0.78049,0.48989,0.85862,0.83423,0.00019822,0.00019822,0.00019822
7,25.0322,0.65437,0.80029,0.89736,0.81594,0.86781,0.90386,0.80687,0.47954,0.83996,0.8309,0.000229112,0.000229112,0.000229112
8,28.6162,0.62439,0.75132,0.89258,0.86037,0.85714,0.90954,0.80353,0.48827,0.81156,0.83332,0.00025842,0.00025842,0.00025842
9,32.2073,0.59133,0.73436,0.89349,0.84675,0.87831,0.90886,0.80411,0.48998,0.76185,0.83364,0.000286144,0.000286144,0.000286144
10,36.0844,0.6136,0.75191,0.90034,0.83336,0.87831,0.91081,0.79898,0.52269,0.74934,0.84211,0.000312284,0.000312284,0.000312284
11,40.023,0.6107,0.70717,0.87277,0.83982,0.88771,0.91576,0.80427,0.51932,0.7271,0.84161,0.00033684,0.00033684,0.00033684
12,43.9265,0.65428,0.75005,0.91388,0.85913,0.86772,0.92049,0.81521,0.49505,0.71124,0.83504,0.000359812,0.000359812,0.000359812
13,47.9271,0.63234,0.78217,0.89362,0.86706,0.84656,0.92077,0.80696,0.50911,0.72641,0.83684,0.0003812,0.0003812,0.0003812
14,52.0591,0.6375,0.71598,0.89884,0.85599,0.86772,0.91935,0.80424,0.5299,0.75203,0.83823,0.000401004,0.000401004,0.000401004
15,56.3523,0.63058,0.70565,0.8838,0.84105,0.86786,0.92156,0.80558,0.51438,0.75639,0.83695,0.000419224,0.000419224,0.000419224
16,60.964,0.61532,0.73291,0.89325,0.86093,0.85161,0.91993,0.80515,0.50838,0.72504,0.83622,0.00043586,0.00043586,0.00043586
17,65.1812,0.58161,0.66626,0.87048,0.87125,0.82352,0.91792,0.80088,0.53797,0.72097,0.83995,0.000450912,0.000450912,0.000450912
18,68.8677,0.62605,0.68287,0.89972,0.86817,0.83598,0.91571,0.80655,0.52555,0.70411,0.83822,0.00046438,0.00046438,0.00046438
19,72.7792,0.57265,0.64752,0.87127,0.89198,0.83011,0.9148,0.80811,0.51494,0.73421,0.83879,0.000476264,0.000476264,0.000476264
20,76.86,0.61792,0.62692,0.87289,0.87178,0.86337,0.91043,0.78519,0.56684,0.75693,0.84502,0.000486564,0.000486564,0.000486564
21,80.6593,0.5939,0.63797,0.8755,0.86251,0.87302,0.90223,0.79424,0.52357,0.73995,0.83872,0.00049528,0.00049528,0.00049528
22,84.6144,0.60456,0.647,0.88835,0.87178,0.8836,0.90824,0.79682,0.50736,0.73121,0.83387,0.000502412,0.000502412,0.000502412
23,88.6053,0.59875,0.61636,0.87142,0.86222,0.86772,0.90996,0.80501,0.49955,0.82877,0.8336,0.00050796,0.00050796,0.00050796
24,92.6073,0.6051,0.63682,0.87269,0.85377,0.85714,0.9019,0.78759,0.52398,0.88836,0.83742,0.000511924,0.000511924,0.000511924
25,98.2324,0.58602,0.61974,0.86201,0.87215,0.83019,0.89092,0.78134,0.5266,0.93922,0.83657,0.000514304,0.000514304,0.000514304
26,103.545,0.61345,0.64036,0.88754,0.83765,0.8463,0.88429,0.7729,0.5248,0.91465,0.83609,0.0005151,0.0005151,0.0005151
27,109.35,0.61594,0.60505,0.87955,0.83547,0.84656,0.88534,0.78341,0.50532,0.85559,0.83388,0.000514312,0.000514312,0.000514312
28,115,0.57194,0.59385,0.86585,0.87649,0.85185,0.88991,0.78667,0.5074,0.79913,0.83477,0.00051194,0.00051194,0.00051194
29,121.055,0.62976,0.60294,0.88857,0.88693,0.84656,0.89757,0.79178,0.49978,0.77708,0.83234,0.000507984,0.000507984,0.000507984
30,126.574,0.59818,0.5913,0.88841,0.90308,0.84656,0.90076,0.79617,0.49712,0.76082,0.83055,0.000502444,0.000502444,0.000502444
31,132.235,0.58718,0.5887,0.86938,0.90216,0.85185,0.90906,0.79137,0.51922,0.73599,0.83407,0.00049532,0.00049532,0.00049532
