epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.61256,1.24477,3.50522,1.28769,0.01489,0.58009,0.01129,0.00621,1.00921,3.35166,1.02172,2e-05,2e-05,2e-05
2,8.20931,1.32199,3.46012,1.2757,0.01778,0.69264,0.02287,0.01278,0.9316,3.30156,0.98482,5.8812e-05,5.8812e-05,5.8812e-05
3,11.4766,1.30606,3.29832,1.18816,0.02056,0.80087,0.03851,0.02336,0.92483,3.24091,0.96031,9.604e-05,9.604e-05,9.604e-05
4,15.1654,1.32261,2.9298,1.15601,0.02294,0.89394,0.0618,0.03632,0.93548,3.1679,0.94445,0.000131684,0.000131684,0.000131684
5,19.7377,1.22877,2.38696,1.09746,0.02422,0.94372,0.10384,0.05933,0.9639,3.08764,0.93734,0.000165744,0.000165744,0.000165744
6,24.8875,1.21702,1.77883,1.07591,0.02467,0.96104,0.17432,0.10202,0.99848,2.93411,0.94489,0.00019822,0.00019822,0.00019822
7,30.2585,1.2773,1.38463,1.0945,0.02494,0.97186,0.57225,0.38132,0.99497,2.7072,0.94366,0.000229112,0.000229112,0.000229112
8,35.4845,1.17063,1.15546,1.05579,1,0.0728,0.73253,0.49577,1.02944,2.55552,0.95651,0.00025842,0.00025842,0.00025842
9,41.5966,1.05514,1.14342,1.01761,1,0.17242,0.69212,0.49403,1.03044,2.54843,0.97475,0.000286144,0.000286144,0.000286144
10,46.5329,1.18354,1.05281,1.04785,0.99089,0.47094,0.62025,0.4487,1.03273,2.62847,0.98117,0.000312284,0.000312284,0.000312284
11,51.0282,1.16466,1.07013,1.02661,0.02367,0.92208,0.55262,0.39427,1.04582,2.74113,0.99163,0.00033684,0.00033684,0.00033684
12,55.8044,1.10516,1.06281,1.00094,0.02267,0.88312,0.48221,0.33882,1.05791,2.85638,1.00847,0.000359812,0.000359812,0.000359812
13,59.7573,1.07651,1.02711,1.04051,0.0215,0.83766,0.43199,0.31833,1.0364,2.90152,1.02073,0.0003812,0.0003812,0.0003812
14,63.7342,1.11214,1.00621,1.03129,0.14244,0.44805,0.44284,0.34292,1.02288,2.83368,1.00872,0.000401004,0.000401004,0.000401004
15,67.5673,1.04643,0.96506,1.0019,0.03896,0.44372,0.42853,0.32826,1.0371,2.84772,1.0179,0.000419224,0.000419224,0.000419224
16,71.2738,1.06045,0.97117,1.02365,0.02228,0.86797,0.41616,0.32096,1.02113,2.88218,1.01746,0.00043586,0.00043586,0.00043586
17,74.9619,1.17524,0.98405,1.06327,0.03749,0.67316,0.45138,0.35189,1.00399,2.81376,1.00463,0.000450912,0.000450912,0.000450912
18,78.7514,0.98499,0.91002,0.99785,0.03246,0.53896,0.4792,0.36171,1.01763,2.8039,1.01403,0.00046438,0.00046438,0.00046438
19,82.4649,0.98286,0.90229,0.98966,0.98334,0.38339,0.55703,0.41009,1.00939,2.68818,0.99369,0.000476264,0.000476264,0.000476264
20,86.6604,0.96088,0.86131,0.98569,0.98297,0.24992,0.65717,0.48078,1.00249,2.50889,0.96808,0.000486564,0.000486564,0.000486564
21,90.5449,1.0469,0.8602,1.01216,0.98071,0.22007,0.66248,0.48597,0.97812,2.52155,0.9648,0.00049528,0.00049528,0.00049528
22,94.0218,1.02504,0.82683,1.00667,0.96434,0.17559,0.58384,0.42791,0.98489,2.63999,0.97544,0.000502412,0.000502412,0.000502412
23,97.9121,0.98372,0.84637,0.99565,0.97222,0.22726,0.52749,0.38304,1.01042,2.75012,1.00539,0.00050796,0.00050796,0.00050796
24,101.605,0.93458,0.79264,0.98117,0.96181,0.21808,0.55459,0.40314,1.01523,2.68584,1.00294,0.000511924,0.000511924,0.000511924
25,105.192,1.05801,0.84262,0.9968,0.96891,0.20238,0.58402,0.42047,1.03693,2.64185,0.99761,0.000514304,0.000514304,0.000514304
26,108.785,0.9241,0.77381,0.95997,0.97089,0.2166,0.61304,0.43624,1.04798,2.60206,1.00128,0.0005151,0.0005151,0.0005151
27,112.551,0.97741,0.95181,1.00255,0.973,0.23399,0.63071,0.43894,1.07753,2.58247,1.0118,0.000514312,0.000514312,0.000514312
28,116.108,0.99857,0.78303,0.97724,0.98521,0.2883,0.64324,0.45721,1.05639,2.52588,1.00228,0.00051194,0.00051194,0.00051194
29,119.554,0.92809,0.81915,0.98181,0.98073,0.33054,0.65564,0.49111,1.00019,2.43819,0.97428,0.000507984,0.000507984,0.000507984
30,122.902,0.97577,0.84434,0.9999,0.97647,0.35928,0.68262,0.50944,1.01715,2.3707,0.96613,0.000502444,0.000502444,0.000502444
31,126.464,0.97672,0.81118,0.99201,0.97007,0.38312,0.71764,0.52429,1.03571,2.31744,0.9657,0.00049532,0.00049532,0.00049532
32,130.968,0.92879,0.80511,0.95993,0.96952,0.41306,0.75593,0.55227,0.99964,2.23427,0.95437,0.000486612,0.000486612,0.000486612
33,136.553,0.91079,0.72978,0.95412,0.96087,0.4632,0.78964,0.58125,0.97156,2.12209,0.94831,0.00047632,0.00047632,0.00047632
34,142.173,1.03128,0.76465,0.98899,0.94811,0.55363,0.81448,0.59686,0.97444,2.01965,0.94861,0.000464444,0.000464444,0.000464444
35,147.869,0.93451,0.72394,0.96975,0.94465,0.59101,0.8286,0.60981,0.97873,1.91258,0.949,0.000450984,0.000450984,0.000450984
36,153.488,0.95265,0.74755,0.95931,0.93452,0.59957,0.81373,0.60747,0.97245,1.83792,0.94779,0.00043594,0.00043594,0.00043594
37,160.188,0.87422,0.76168,0.97286,0.93302,0.60299,0.79933,0.60007,0.95149,1.76907,0.9419,0.000419312,0.000419312,0.000419312
38,166.134,0.9183,0.70287,0.95483,0.93567,0.61039,0.78897,0.59625,0.9519,1.74233,0.94222,0.0004011,0.0004011,0.0004011
39,171.404,0.8251,0.69555,0.93649,0.93145,0.61766,0.78586,0.59198,0.95137,1.73874,0.93935,0.000381304,0.000381304,0.000381304
40,175.73,0.97502,0.73902,1.01089,0.9358,0.62554,0.78922,0.59086,0.97714,1.74651,0.9451,0.000359924,0.000359924,0.000359924
41,179.73,0.86155,0.71639,0.9463,0.93893,0.63232,0.79476,0.59346,0.97877,1.75584,0.94541,0.00033696,0.00033696,0.00033696
42,184.358,0.8914,0.73766,0.95515,0.93355,0.63864,0.79201,0.59255,0.9636,1.78941,0.94446,0.000312412,0.000312412,0.000312412
43,188.582,0.85449,0.69899,0.91902,0.93459,0.62987,0.78105,0.58407,0.96648,1.83353,0.9518,0.00028628,0.00028628,0.00028628
44,192.717,0.8518,0.70118,0.93855,0.92852,0.61688,0.76656,0.57882,0.97296,1.86416,0.95619,0.000258564,0.000258564,0.000258564
45,196.258,0.84523,0.71173,0.95038,0.94092,0.62054,0.77414,0.58058,0.96477,1.84378,0.95173,0.000229264,0.000229264,0.000229264
46,200.386,0.80418,0.68175,0.91995,0.93969,0.64082,0.78055,0.58807,0.95631,1.79256,0.94763,0.00019838,0.00019838,0.00019838
47,204.687,0.83688,0.69019,0.92432,0.91789,0.67751,0.79156,0.59795,0.95261,1.71419,0.94371,0.000165912,0.000165912,0.000165912
48,209.008,0.84937,0.69493,0.95546,0.90736,0.70779,0.80882,0.60974,0.94795,1.63279,0.94112,0.00013186,0.00013186,0.00013186
49,213.329,0.81736,0.68265,0.93273,0.87712,0.72614,0.81969,0.61582,0.94272,1.55438,0.93846,9.6224e-05,9.6224e-05,9.6224e-05
50,217.571,0.79666,0.65687,0.92805,0.86496,0.74242,0.83097,0.62497,0.9394,1.48744,0.93771,5.9004e-05,5.9004e-05,5.9004e-05
